Week,Date,Topic,Handouts,Readings,HW
Week 1,29-Aug,Introduction,"<a href=""../slides/Intro/intro.pdf"">Introduction</a>  (<a href=""../slides/Intro/intro.R"">R Code</a>, <a href=""../slides/Intro/spinalbonedata.txt"">SpinalData</a>)","Read <a href=""http://getitatduke.library.duke.edu/?sid=sersol&SS_jc=TC0000830666&title=Bayesian%20and%20frequentist%20regression%20methods""> Wakefield Chapter 1 </a>","<a href=""https://sakai.duke.edu/x/V8jRZW""> Self-Assessment  HW0 </a>  (Due Sept 1)  Review <a href=""../slides/MathBootcampSlides.pdf"">MathBootcamp Slides</a>"
,1-Sep,Maximum Likelihood,"<a href=""../slides/MLES/mles.pdf"">MLEs</a> ","Read <a href=""http://getitatduke.library.duke.edu/?sid=sersol&SS_jc=TC0000508493&title=Plane%20Answers%20to%20Complex%20Questions%3A%20The%20Theory%20of%20Linear%20Models"" >  Christensen Ch 1-2 & Appendix A </a>","<a href=""../hw/MLES/HW1.pdf""> HW1</a> "
Week 2,6-Sep,Multivariate Normal Theory,"<a href=""../slides/NormalTheory/multnorm.pdf"">Normal Theory</a> ","Read <a href=""http://getitatduke.library.duke.edu/?sid=sersol&SS_jc=TC0000508493&title=Plane%20Answers%20to%20Complex%20Questions%3A%20The%20Theory%20of%20Linear%20Models"" >  Christensen Ch 1 </a>","<a href=""../hw/NormalTheory/HW2.pdf""> HW2</a> "
,8-Sep,Sampling Distributions t and Chi-squared,"<a href=""../slides/SamplingDist/sampling.pdf"">Sampling DistributionsTheory</a> ","Read <a href=""http://getitatduke.library.duke.edu/?sid=sersol&SS_jc=TC0000508493&title=Plane%20Answers%20to%20Complex%20Questions%3A%20The%20Theory%20of%20Linear%20Models"" >  Christensen Ch 1-2 & Appendix C </a>","<a href=""../hw/Sampling/HW3.pdf""> HW3</a> "
Week 2,13-Sep,Predictive Distributions & Properties of MLES,"<a href=""../slides/Pred+Prop/predictions.pdf"">Predictive Distributions</a> ","Read <a href=""http://getitatduke.library.duke.edu/?sid=sersol&SS_jc=TC0000508493&title=Plane%20Answers%20to%20Complex%20Questions%3A%20The%20Theory%20of%20Linear%20Models"" >  Christensen Ch 2  & 6.3 </a>","<a href=""../hw/Pred+Prop/HW4.pdf""> HW4</a> "
,15-Sep,Gauss Markov & Prediction,"<a href=""../slides/Gauss-Markov/gm.pdf"">Gauss Markov</a>. <a href=""../slides/Gauss-Markov/estimability.R"">R code</a> ",Christensen Chapter 2,"<a href=""../hw/Gauss-Markov/HW5.pdf""> HW5</a> "
Week 3,20-Sep,Bayesian Regression,"<a href=""../slides/Bayes-Intro/Bayes-Intro.pdf"">Bayes Intro</a>","Read <a href=""http://getitatduke.library.duke.edu/?sid=sersol&SS_jc=TC0000508493&title=Plane%20Answers%20to%20Complex%20Questions%3A%20The%20Theory%20of%20Linear%20Models"" >  Christensen Ch 2 </a>","<a href=""../hw/Bayes-Intro/HW6.pdf""> HW6</a> "
,22-Sep,Conjugate Priors,"<a href=""../slides/Priors/priors.pdf"">Priors</a>",,"<a href=""../hw/Priors/HW7.pdf""> HW7</a> "
Week 4,27-Sep,Jeffreys Priors & Formal Bayes ,"<a href=""../slides/MorePriors/morepriors.pdf""> More Priors</a>",,"<a href=""../hw/MorePriors/HW8.pdf""> HW8</a> "
,29-Sep,Comparisons,"<a href=""../slides/Estimation/estimation.pdf""> Mixture Priors & Estimators</a>, <a href=""../slides/Estimation/gprior.R""> R & JAGS code</a>",Hoff Chapter 2,"<a href=""../hw/Estimation/HW9.pdf""> HW9</a> "
Week 5,4-Oct,Ridge Regression,"<a href=""../slides/Ridge/ridge.pdf""> Ridge Regression</a>",Chapter 15 Christensen,
,6-Oct,Bayesian Ridge,"<a href=""../slides/BayesRidge/BRidge.pdf""> Bayesian Ridge Regression & Topics</a>",Chapter 15 Christensen and Hoff Chapter 7,"<a href=""../hw/BRidge/HW10.pdf""> HW10</a> "
Week 6,11-Oct,,"<span style=""color:gray"">No class - Fall Break",,
,13-Oct,Lasso & Bayesian Lasso,"<a href=""../slides/Lasso/lasso.pdf""> Lasso & Bayesian Lasso Regression </a>",,
Week 7,18-Oct,Other Shrinkage Priors ,"<a href=""../slides/shrinkage/horseshoe.pdf""> Horseshoe and other Shrinkage Priors </a> and <a href=""../slides/shrinkage/diabetes.R""> R Code </a> ","<a href=""http://www.stat.ufl.edu/archived/casella/Papers/Lasso.pdf""> Bayesian Lasso </a>","<a href=""../hw/shrinkage/HW11.pdf""> HW11</a>  <a href=""../hw/shrinkage/nott-kohn.R""> Nott-Kohn R code</a> "
,20-Oct,Midterm,,,
Week 8,25-Oct,Testing,"<a href=""../slides/Testing/testing.pdf"">  Testing </a>  (<a href=""../slides/Testing/climate.R"">R-code <a/>)",,"<a href=""../hw/Testing/HW12.pdf""> HW12</a>  (Due Oct 23)  <a href=""https://stat.duke.edu/resources/datasets/climate.html""> Climate data </a>"
,27-Oct,Added Variable Plots,"<a href=""../slides/TestingAVP/testing-II.pdf"">  Model Selection and AVP </a>  (<a href=""../slides/Testing/climate.R"">R-code <a/>)",,"<a href=""../hw/TestingAVP/HW13.pdf""> HW13</a>  "
Week 9,1-Nov,Model Choice: BMA,"<a href=""../slides/ModelChoice/variable-selection.pdf"">  Model Selection and BMA</a>  (<a href=""../slides/ModelChoice/BMA.R"">R-code <a/>)",,"<a href=""../slides/ModelChoice/HW14.pdf""> HW14</a>  "
,3-Nov,BMA,"<a href=""../slides/BMA/bma.pdf"">  BMA</a>  ","<a href=""http://www.tandfonline.com/doi/abs/10.1198/016214507000001337"" > Liang et al JASA 2007 </a>",
Week 10,8-Nov,Choice of Prior Distributions,"<a href=""../slides/Desiderata/desi.pdf"">  Desiderata</a>  (<a href=""../slides/ModelChoice/BMA.R"">R-code </a>)","<a href=""http://arxiv.org/pdf/1209.5240.pdf""> Bayarri et al (2012) </a>,     <a href=""http://www.tandfonline.com/doi/abs/10.1198/jcgs.2010.09049""> BAS paper </a>, <a href=""http://amstat.tandfonline.com/doi/abs/10.1080/01621459.2014.880348""> Womack et al (2014) </a>, <a  href=""http://www.tandfonline.com/doi/pdf/10.1080/00031305.2015.1031827""> Bayesian Variable Selection under Coliniearity</a>","<a href=""../slides/Desiderata/HW15.pdf""> HW15</a>  "
,10-Nov,Assumptions: Checking Residuals,"<a href=""../slides/Residuals/checking.pdf"">  Residuals</a>  (<a href=""../slides/Residuals/BAS-stackloss.R"">R-code </a>)",,
Week 11,15-Nov,Robust Regression ,"<a href=""../slides/Robust/robust.pdf"">  Robust</a>  (<a href=""../slides/Robust/robust-gibbs.R"">R-code </a>)","<a href=""../slides/Robust/west84.pdf"">  West 84</a> <a href=""http://repositorio.upr.edu:8080/jspui/bitstream/10586%20/356/1/DynamicSBeta_Aug02pm_2012.pdf""> Fuquene et al</a>    ","<a href=""../slides/Robust/HW16.pdf""> HW16</a>  "
,17-Nov,Random Effects ,"<a href=""../slides/Hier/hier.pdf""> Random Effects</a>  (<a href=""../slides/Hier/hier.R"">R-code </a>)","<a href=""https://projecteuclid.org/euclid.ba/1354024466""> Polson & Scott 2010</a>",
Week 12,22-Nov,Transformations & Normality,"<a href=""../slides/boxcox/boxcox.pdf""> Normality</a>  (<a href=""../slides/boxcox/normal.R"">R-code </a> <a href=""../slides/boxcox/nonlinear.R"">R-code </a>)",Wakefield & Christensen,
,24-Nov,,"<span style=""color:gray"">Graduate Reading Period",,Thanksgiving
Week 13,29-Nov,Generalized Additive Models,"<a href=""../slides/gam/gam.pdf""> GAMs</a>  (<a href=""../slides/gam/gam.R"">R-code </a> )",,"<a href=""../slides/gam/HW17.pdf""> HW17</a>  "
,1-Dec,No Class,,,
Week 14,6-Dec,Putting it all Together,"<span style=""color:gray"">Graduate Reading Period",,
,8-Dec,Review,, Take Home Due,
Final,18-Dec,"<b>Final, 7 - 10 pm</b>",BioSci 154,,
